t_s,joint,rid,name,value
1790040183.767272,right_joint3,10,CTRL_MODE,1
1790040183.768093,right_joint3,1,KT_Value,0
1790040183.768211,right_joint3,1,KT_Value,0
1790040183.768426,right_joint3,20,Gr,40
1790040183.768535,right_joint3,20,Gr,40
1790040183.768799,right_joint3,12,Inertia,1.8153e-05
1790040183.769154,right_joint3,11,Damp,0.000180662
1790040183.769404,right_joint3,23,TMAX,28
1790040183.769610,right_joint3,22,VMAX,10
1790040183.769824,right_joint3,21,PMAX,12.5
1790040183.770154,right_joint3,9,TIMEOUT,0
1790040183.770508,right_joint3,6,MAX_SPD,600
1790040183.770715,right_joint3,16,NPP,14
1790040183.771073,right_joint3,17,Rs,0.739951
1790040183.771383,right_joint3,18,LS,0.000321735
1790040183.771717,right_joint3,19,Flux,0.00465251
1790040183.772075,right_joint3,14,sw_ver,9.25971e+08
1790040183.772424,right_joint3,13,hw_ver,0
1790040281.037338,right_joint3,10,CTRL_MODE,1
1790040281.038493,right_joint3,1,KT_Value,0
1790040281.038608,right_joint3,1,KT_Value,0
1790040281.038727,right_joint3,20,Gr,40
1790040281.038841,right_joint3,20,Gr,40
1790040281.039354,right_joint3,12,Inertia,1.8153e-05
1790040281.039607,right_joint3,11,Damp,0.000180662
1790040281.039923,right_joint3,23,TMAX,28
1790040281.040256,right_joint3,22,VMAX,10
1790040281.040462,right_joint3,21,PMAX,12.5
1790040281.040711,right_joint3,9,TIMEOUT,0
1790040281.041250,right_joint3,6,MAX_SPD,600
1790040281.041671,right_joint3,16,NPP,14
1790040281.041883,right_joint3,17,Rs,0.739951
1790040281.042232,right_joint3,18,LS,0.000321735
1790040281.042609,right_joint3,19,Flux,0.00465251
1790040281.042838,right_joint3,14,sw_ver,9.25971e+08
1790040281.043190,right_joint3,13,hw_ver,0
1790040314.433394,right_joint3,10,CTRL_MODE,1
1790040314.434251,right_joint3,1,KT_Value,0
1790040314.434345,right_joint3,1,KT_Value,0
1790040314.434743,right_joint3,20,Gr,40
1790040314.435265,right_joint3,12,Inertia,1.8153e-05
1790040314.435637,right_joint3,11,Damp,0.000180662
1790040314.435845,right_joint3,23,TMAX,28
1790040314.436075,right_joint3,22,VMAX,10
1790040314.436300,right_joint3,21,PMAX,12.5
1790040314.436509,right_joint3,9,TIMEOUT,0
1790040314.436741,right_joint3,6,MAX_SPD,600
1790040314.437090,right_joint3,16,NPP,14
1790040314.437451,right_joint3,17,Rs,0.739951
1790040314.437782,right_joint3,18,LS,0.000321735
1790040314.438113,right_joint3,19,Flux,0.00465251
1790040314.438467,right_joint3,14,sw_ver,9.25971e+08
1790040314.438867,right_joint3,13,hw_ver,0
1790040353.571368,right_joint3,10,CTRL_MODE,1
1790040353.572539,right_joint3,1,KT_Value,0
1790040353.572543,right_joint3,1,KT_Value,0
1790040353.572789,right_joint3,20,Gr,40
1790040353.573046,right_joint3,12,Inertia,1.8153e-05
1790040353.573338,right_joint3,11,Damp,0.000180662
1790040353.573576,right_joint3,23,TMAX,28
1790040353.573924,right_joint3,22,VMAX,10
1790040353.574144,right_joint3,21,PMAX,12.5
1790040353.574367,right_joint3,9,TIMEOUT,0
1790040353.574795,right_joint3,6,MAX_SPD,600
1790040353.575128,right_joint3,16,NPP,14
1790040353.575365,right_joint3,17,Rs,0.739951
1790040353.575573,right_joint3,18,LS,0.000321735
1790040353.575764,right_joint3,19,Flux,0.00465251
1790040353.576136,right_joint3,14,sw_ver,9.25971e+08
1790040353.576351,right_joint3,13,hw_ver,0
