cls,preset,kp,kd,I_link,mgd,tau_pk,vel_lim,armature,coulomb,viscous,fric_src,arm_over_Ilink,tau_over_arm,tau_over_Jtot,step_rise_ms,step_overshoot_pct,step_settle_ms,step_ss_err_deg,step_tau_peak,step_sat_frac,bw_3db_hz,f_90deg_hz,res_peak_db,res_freq_hz,chirp_sat_frac,ms_track_rms_deg,ms_track_max_deg,ms_tau_rms,ms_tau_peak,ms_sat_frac,fd_moved,fd_travel_rad,fd_stop_s,fd_swings,fd_hit_limit,fd_rest_deg
elbow,dm4340,70.0,2.0,0.00215,0.06,27.0,5.445427266222308,0.02557,0.4815,0.1878,M 실측,11.893023255813953,1055.9249120062573,974.025974025974,58.85714285714316,0.0,76.0000000000002,0.22591725862008386,21.00003785714286,0.0,12.235894666649674,,0.7894828229392727,6.037333333333331,0.09459369375374975,0.717704905548931,1.3657594962533448,1.0287986295169178,2.04086,0.0,True,0.075508,0.08400000000000007,0.0,False,
elbow,g1_elbow,70.0,2.0,0.00215,0.06,25.0,37.0,0.01,0.2,0.0,S 범용값,4.651162790697675,2500.0,2057.6131687242796,54.00000000000027,0.0,73.99999999999984,0.16383318896197835,20.999995714285713,0.0,28.85001286652755,,0.9449934134518369,10.41533333333333,0.13805746283581094,0.22953326805040683,0.4329842057803652,0.3646165055843685,0.756691,0.0,True,0.119506,0.1200000000000001,0.0,False,
elbow,h1_elbow,70.0,2.0,0.00215,0.06,18.0,20.0,0.0,0.0,0.0,— 미공개(0),0.0,,8372.093023255815,64.00000000000006,0.0,85.99999999999999,0.0001309617817425017,18.0,0.0010000002857145714,,,0.22998201748346755,,0.0017998800079994668,0.002671240607934039,0.0046409581405595386,0.051719375528141376,0.089081,0.0,True,2.967058,,0.0,True,
elbow,mit_elbow,70.0,2.0,0.00215,0.06,52.2,35.0,0.005561457499999999,0.0,0.0,— 미공개(0),2.5867244186046507,9386.028752354938,6769.148374350764,55.999999999999794,0.0,80.00000000000007,0.00016370222718130767,21.000000857142854,0.0,,,0.7037083167633948,11.476666666666663,0.0,0.10244115937473862,0.17841905740373867,0.1892976246553482,0.325022,0.0,True,2.967058,,0.0,True,
elbow,rs02_elbow,70.0,2.0,0.00215,0.06,17.0,42.93509959906051,0.0015,0.1,0.0,S 범용값,0.6976744186046512,11333.333333333334,4657.534246575343,62.00000000000021,0.0,83.99999999999994,0.08204755626273272,17.0,0.0010000002857145714,,,0.37006344477442044,,0.04746350243317112,0.07281406114463748,0.11241431940466544,0.1336304669377949,0.276009,0.0,True,0.071014,0.07200000000000006,0.0,False,
shoulder,bh_8513,70.0,2.75,0.434,11.74,45.3,40.7,0.005588999999999999,0.0,0.0,— 미공개(0),0.012877880184331796,8105.206655931294,103.05080427399228,98.85714285714288,35.58829954414869,861.1428571428569,1.4250978703060655,19.718941285714287,0.0,3.394046202511495,2.5813634687433713,5.868938891971167,2.1759999999999997,0.0,6.812817550494599,11.753598913534194,10.279874790405223,17.231894,0.0,True,22.18972,,7.5,False,
shoulder,dm8009,70.0,2.75,0.434,11.74,40.0,16.755160819145562,0.01669,0.814,0.1,M 실측,0.038456221198156684,2396.644697423607,88.75280126028979,104.00000000000009,29.50493761546822,606.2857142857146,1.3977141709989245,19.70676814285714,0.0,3.2606159779311263,2.5907332747065515,4.5721173422701336,2.1759999999999997,0.0,6.265835909592566,11.188547935976176,9.438239538715415,16.300035,0.0,True,2.74066,2.484,1.5,False,1.6076622773575768
shoulder,g1_shoulder,70.0,2.75,0.434,11.74,25.0,37.0,0.01,0.2,0.0,S 범용값,0.02304147465437788,2500.0,56.306306306306304,98.85714285714263,34.4726613338427,788.2857142857143,1.419912193004565,19.718094714285712,0.0,3.372511340829542,2.578895562548517,5.639470878688936,2.1759999999999997,0.0,6.687779090805222,11.627261719707848,10.087071162103264,17.017508,0.0,True,13.015497,,8.0,False,
shoulder,h1_shoulder,70.0,2.75,0.434,11.74,40.0,9.0,0.0,0.0,0.0,— 미공개(0),0.0,,92.16589861751152,98.00000000000038,35.36648931095329,786.5714285714284,1.4236618743692417,19.71879742857143,0.0,3.4281602045418573,2.5910075790929654,5.841508717485393,2.1759999999999997,0.0,6.834250619141645,11.751593561251237,10.315608140434342,17.24074,0.0,True,22.203565000000005,,8.0,False,
shoulder,mit_shoulder,70.0,2.75,0.434,11.74,33.6,55.0,0.0023,0.0,0.0,— 미공개(0),0.005299539170506912,14608.695652173914,77.01123080449233,98.00000000000038,35.45793898177947,855.1428571428572,1.424331907585092,19.719035,0.0,3.4118815985991313,2.586989508489972,5.853272942432511,2.1759999999999997,0.0,6.825445849294252,11.75239570216442,10.300938035956651,17.237413,0.0,True,22.194947,,8.0,False,
shoulder,rs03_shoulder,70.0,2.75,0.434,11.74,60.0,20.420352248333653,0.005,0.001,0.0,S 범용값,0.01152073732718894,12000.0,136.6742596810934,98.85714285714288,35.55744934582619,859.4285714285712,1.423537869932153,19.71894657142857,0.0,3.3954454229146274,2.5823833823184827,5.864997791175074,2.1759999999999997,0.0,6.814542628099387,11.75239570216442,10.282823299819656,17.231932,0.0,True,22.143255,,7.5,False,
wrist,bh_5013,10.0,0.5,0.00559,0.72,9.7,83.7,0.0004941,0.0,0.0,— 미공개(0),0.08838998211091234,19631.653511434928,1594.3196199930965,97.14285714285691,0.0,110.85714285714276,0.6518295281862608,2.914697571428572,0.0,17.409510477464764,,1.0363198345575235,5.347999999999999,0.0,0.5279311425503161,1.3139068157940026,0.11880078693268982,0.279969,0.0,True,50.092268000000004,,16.5,False,
wrist,bhl_5010_arm,10.0,0.5,0.00559,0.72,4.0,10.0,0.002,0.0,0.0,— 미공개(0),0.35778175313059035,2000.0,527.0092226613965,87.71428571428588,0.048656439633879396,103.99999999999957,0.6516003450682074,2.914695428571428,0.0,13.384871013486721,,1.2565569640465533,4.754,0.07666155589627358,0.6502322422888954,1.5054466067062375,0.15349000254891879,0.328252,0.0,True,45.023215,,14.5,False,
wrist,dm4310,10.0,0.5,0.00559,0.72,7.0,20.94395102393195,0.00169,0.1217,0.0246,M 실측,0.3023255813953488,4142.011834319526,961.5384615384615,94.00000000000031,0.0,112.0000000000001,1.3031270241341855,2.9145719999999997,0.0,13.626796542877495,,0.09816921820922314,,0.0,0.8782537371436139,2.046204173750709,0.20688670880922158,0.478743,0.0,True,0.920047,0.33000000000000007,0.0,False,9.080979982366957
wrist,g1_wrist_pitch,10.0,0.5,0.00559,0.72,5.0,22.0,0.01,0.1,0.0,S 범용값,1.7889087656529516,500.0,320.7184092366902,81.71428571428592,2.0441189689209573,110.85714285714276,0.5736944551531343,2.9152842857142853,0.0,7.989900871615243,,1.4322327313193426,3.5659999999999994,0.06052929804679688,1.612380421747113,2.9135476840197496,0.3905046446792323,0.69577,0.0,True,1.9232510000000003,1.396,1.0,False,5.896824331706919
wrist,g1_wrist_roll,10.0,0.5,0.00559,0.72,25.0,37.0,0.01,0.2,0.0,S 범용값,1.7889087656529516,2500.0,1603.592046183451,89.14285714285722,0.4794326937612154,114.00000000000013,0.6423593543438859,2.912620285714286,0.0,7.704874505218499,,0.6555943041889972,3.5659999999999994,0.0,1.6962074191514316,3.3165661971147697,0.41012295175527586,0.808854,0.0,True,0.938742,0.478,0.0,False,10.140321649784335
wrist,h12_wrist,10.0,0.5,0.00559,0.72,19.0,31.4,0.0,0.0,0.0,— 미공개(0),0.0,,3398.9266547406082,99.42857142857113,0.0,112.85714285714286,0.6518622686316943,2.9146980000000005,0.0,18.481926395010976,,0.9600860093350572,5.347999999999999,0.0,0.49654434362408434,1.2542046135413716,0.10893107742906145,0.264794,0.0,True,52.48675,,17.0,False,
wrist,rs00_wrist,10.0,0.5,0.00559,0.72,14.0,32.98672286269283,0.005,0.1,0.0,S 범용값,0.8944543828264758,2800.0,1322.0018885741265,89.42857142857149,0.0,103.99999999999957,0.7961821521137908,2.914871142857143,0.0,10.665839006677702,,0.9776511525608834,4.225999999999999,0.0,1.021628335424303,2.2235919071232106,0.24750797166014527,0.52849,0.0,True,1.9211950000000002,1.1520000000000001,1.0,False,5.915961122064289
