cls,preset,kp,kd,I_link,mgd,tau_pk,vel_lim,armature,coulomb,viscous,fric_src,arm_over_Ilink,tau_over_arm,tau_over_Jtot,step_rise_ms,step_overshoot_pct,step_settle_ms,step_ss_err_deg,step_tau_peak,step_sat_frac,bw_3db_hz,f_90deg_hz,res_peak_db,res_freq_hz,chirp_sat_frac,ms_track_rms_deg,ms_track_max_deg,ms_tau_rms,ms_tau_peak,ms_sat_frac,fd_moved,fd_travel_rad,fd_stop_s,fd_swings,fd_hit_limit,fd_rest_deg
elbow,dm4340,70.0,2.0,0.00215,0.06,27.0,5.445427266222308,0.02557,0.0,0.0,M 실측,11.893023255813953,1055.9249120062573,974.025974025974,51.99999999999992,2.334503801352542,67.99999999999993,0.00019644267261466125,21.0,0.0,13.048203782185926,,1.9270282492583894,6.435333333333332,0.107859476034931,0.4972566852826826,0.8567437910591197,0.7338792202225479,1.24671,0.0,True,2.967058,,0.0,True,
elbow,g1_elbow,70.0,2.0,0.00215,0.06,25.0,37.0,0.01,0.0,0.0,S 범용값,4.651162790697675,2500.0,2057.6131687242796,51.99999999999992,0.0,73.99999999999984,0.0001309617817425017,21.0,0.0,28.897977496610313,,1.087492944981762,10.41533333333333,0.1403239784014399,0.18503672841303917,0.32142932306839206,0.3031838859251464,0.519285,0.0,True,2.967058,,0.0,True,
elbow,h1_elbow,70.0,2.0,0.00215,0.06,18.0,20.0,0.0,0.0,0.0,— 미공개(0),0.0,,8372.093023255815,64.00000000000006,0.0,85.99999999999999,0.0001309617817425017,18.0,0.0010000002857145714,,,0.22998201748346755,,0.0017998800079994668,0.002671240607934039,0.0046409581405595386,0.051719375528141376,0.089081,0.0,True,2.967058,,0.0,True,
elbow,mit_elbow,70.0,2.0,0.00215,0.06,52.2,35.0,0.005561457499999999,0.0,0.0,— 미공개(0),2.5867244186046507,9386.028752354938,6769.148374350764,55.999999999999794,0.0,80.00000000000007,0.00016370222718130767,21.000000857142854,0.0,,,0.7037083167633948,11.476666666666663,0.0,0.10244115937473862,0.17841905740373867,0.1892976246553482,0.325022,0.0,True,2.967058,,0.0,True,
elbow,rs02_elbow,70.0,2.0,0.00215,0.06,17.0,42.93509959906051,0.0015,0.0,0.0,S 범용값,0.6976744186046512,11333.333333333334,4657.534246575343,62.00000000000021,0.0,83.99999999999994,0.0002291831180498323,17.0,0.0010000002857145714,,,0.39610862073417397,,0.0486634224385041,0.029166505481474397,0.05093594798713183,0.08828069552781577,0.151925,0.0,True,2.967058,,0.0,True,
shoulder,bh_8513,70.0,2.75,0.434,11.74,45.3,40.7,0.005588999999999999,0.0,0.0,— 미공개(0),0.012877880184331796,8105.206655931294,103.05080427399228,98.85714285714288,35.58829954414869,861.1428571428569,1.4250978703060655,19.718941285714287,0.0,3.394046202511495,2.5813634687433713,5.868938891971167,2.1759999999999997,0.0,6.812817550494599,11.753598913534194,10.279874790405223,17.231894,0.0,True,22.18972,,7.5,False,
shoulder,dm8009,70.0,2.75,0.434,11.74,40.0,16.755160819145562,0.01669,0.0,0.0,M 실측,0.038456221198156684,2396.644697423607,88.75280126028979,98.85714285714263,36.02598590330353,876.5714285714284,1.4258197971279323,19.71874742857143,0.0,3.3607073087026813,2.5372871888990174,5.912949536170063,2.1759999999999997,0.0,6.77020279753438,11.760932773311868,10.208583615442391,17.234673,0.0,True,22.014088,,7.5,False,
shoulder,g1_shoulder,70.0,2.75,0.434,11.74,25.0,37.0,0.01,0.0,0.0,S 범용값,0.02304147465437788,2500.0,56.306306306306304,98.85714285714263,35.7643674859212,866.8571428571431,1.425721657642738,19.718852857142856,0.0,3.3831278776342812,2.57399720415345,5.8881262518536515,2.1759999999999997,0.0,6.795869132825452,11.75726584342303,10.25156170478477,17.227663,0.0,True,22.149274,,7.5,False,
shoulder,h1_shoulder,70.0,2.75,0.434,11.74,40.0,9.0,0.0,0.0,0.0,— 미공개(0),0.0,,92.16589861751152,98.00000000000038,35.36648931095329,786.5714285714284,1.4236618743692417,19.71879742857143,0.0,3.4281602045418573,2.5910075790929654,5.841508717485393,2.1759999999999997,0.0,6.834250619141645,11.751593561251237,10.315608140434342,17.24074,0.0,True,22.203565000000005,,8.0,False,
shoulder,mit_shoulder,70.0,2.75,0.434,11.74,33.6,55.0,0.0023,0.0,0.0,— 미공개(0),0.005299539170506912,14608.695652173914,77.01123080449233,98.00000000000038,35.45793898177947,855.1428571428572,1.424331907585092,19.719035,0.0,3.4118815985991313,2.586989508489972,5.853272942432511,2.1759999999999997,0.0,6.825445849294252,11.75239570216442,10.300938035956651,17.237413,0.0,True,22.194947,,8.0,False,
