t_s,joint,rid,name,value
1790040570.014470,right_joint1,10,CTRL_MODE,1
1790040570.015530,right_joint1,1,KT_Value,0
1790040570.015653,right_joint1,1,KT_Value,0
1790040570.015778,right_joint1,20,Gr,9
1790040570.015888,right_joint1,20,Gr,9
1790040570.016333,right_joint1,12,Inertia,0.000206113
1790040570.016640,right_joint1,11,Damp,0.00102987
1790040570.016885,right_joint1,23,TMAX,54
1790040570.017136,right_joint1,22,VMAX,45
1790040570.017408,right_joint1,21,PMAX,12.5
1790040570.017906,right_joint1,9,TIMEOUT,0
1790040570.018415,right_joint1,6,MAX_SPD,600
1790040570.018798,right_joint1,16,NPP,21
1790040570.019007,right_joint1,17,Rs,0.151332
1790040570.019259,right_joint1,18,LS,6.34432e-05
1790040570.019471,right_joint1,19,Flux,0.0042756
1790040570.019675,right_joint1,14,sw_ver,9.25972e+08
1790040570.019905,right_joint1,13,hw_ver,0
1790040604.481782,right_joint1,10,CTRL_MODE,1
1790040604.482730,right_joint1,1,KT_Value,0
1790040604.482959,right_joint1,1,KT_Value,0
1790040604.483221,right_joint1,20,Gr,9
1790040604.483550,right_joint1,20,Gr,9
1790040604.483648,right_joint1,12,Inertia,0.000206113
1790040604.483927,right_joint1,12,Inertia,0.000206113
1790040604.483931,right_joint1,11,Damp,0.00102987
1790040604.484360,right_joint1,23,TMAX,54
1790040604.484757,right_joint1,22,VMAX,45
1790040604.485108,right_joint1,21,PMAX,12.5
1790040604.485480,right_joint1,9,TIMEOUT,0
1790040604.485689,right_joint1,6,MAX_SPD,600
1790040604.485923,right_joint1,16,NPP,21
1790040604.486149,right_joint1,17,Rs,0.151332
1790040604.486487,right_joint1,18,LS,6.34432e-05
1790040604.486716,right_joint1,19,Flux,0.0042756
1790040604.487065,right_joint1,14,sw_ver,9.25972e+08
1790040604.487422,right_joint1,13,hw_ver,0
